year,origin,destination,GWP
2013,BE,DK,376940045.666551
2013,BE,EE,32123145.0461101
2013,BE,ES,1049742124.2673
2013,BE,FI,376190198.952721
2013,BE,FR,6292341642.00537
2013,BE,GB,3501440949.53921
2013,BE,GR,240968061.539028
2013,BE,HR,51223135.5163322
2013,BE,HU,175931509.686892
2013,BE,ID,295685262.62159
2013,BE,IE,340395096.086959
2013,BE,IN,812544111.048302
2013,BE,IT,1959377640.40071
2013,BE,JP,1177944931.44509
2013,BE,KR,608233765.984416
2013,BE,LT,59939066.6724456
2013,BE,LU,241504587.684465
2013,BE,LV,25542018.4443972
2013,BE,MT,12434401.0809974
2013,BE,MX,410931706.263937
2013,BE,NL,2955328939.71654
2013,BE,NO,476207374.05639
2013,BE,PL,648148457.97551
2013,BE,PT,231352277.777312
2013,BE,RO,186780354.562449
2013,BE,RU,1183412857.04109
2013,BE,SE,952420770.265984
2013,BE,SI,99633457.038048
2013,BE,SK,100570464.990078
2013,BE,TR,681832673.48934
2013,BE,TW,1142826898.47864
2013,BE,US,3490841645.99599
2013,BE,WA,2198982413.80644
2013,BE,WE,467381830.507608
2013,BE,WF,1696411539.78883
2013,BE,WL,1120421588.67509
2013,BE,WM,2181566925.56127
2013,BE,ZA,210176252.659266
2013,BG,AT,247523100.002227
2013,BG,AU,153830769.507134
2013,BG,BE,237827224.671166
2013,BG,BG,29471108855.4958
2013,BG,BR,161303254.257582
2013,BG,CA,178131213.844555
2013,BG,CH,225604731.534843
2013,BG,CN,939056184.71949
2013,BG,CY,31051065.2727335
2013,BG,CZ,495044314.973722
2013,BG,DE,1409602948.16743
2013,BG,DK,115493437.464641
2013,BG,EE,15081327.2607973
2013,BG,ES,498119434.596816
2013,BG,FI,91568577.9645271
2013,BG,FR,786568442.743645
2013,BG,GB,641944869.067232
2013,BG,GR,1461308938.10183
2013,BG,HR,44967116.9031051
2013,BG,HU,138298127.492476
2013,BG,ID,99724053.4733633
2013,BG,IE,70382236.5469263
2013,BG,IN,211576411.572444
2013,BG,IT,1171056782.39935
2013,BG,JP,252100500.873034
2013,BG,KR,239236209.52156
2013,BG,LT,28856316.271992
2013,BG,LU,32187897.2982904
2013,BG,LV,11407357.7073134
2013,BG,MT,7496159.29989726
2013,BG,MX,136646326.200408
2013,BG,NL,212448733.140938
2013,BG,NO,156035217.737507
2013,BG,PL,261752719.540065
2013,BG,PT,195869076.099695
2013,BG,RO,952515440.401642
2013,BG,RU,582979832.622563
2013,BG,SE,146442097.138817
2013,BG,SI,248632304.708746
2013,BG,SK,99653634.4138471
2013,BG,TR,2494182959.11905
2013,BG,TW,941607278.922516
2013,BG,US,777741062.729055
2013,BG,WA,1126648649.87838
2013,BG,WE,870194804.977047
2013,BG,WF,882389497.16186
