country,year,ShareRenewables_PrimEnProd,ShareFossils_PrimEnProd
ESP,2004,0.272224767174266,0.216958150927401
ESP,2005,0.279756254977447,0.219204953877537
ESP,2006,0.293762916398516,0.200581309515511
ESP,2007,0.331708370819599,0.186348255341851
ESP,2008,0.341437945957,0.143678055135692
ESP,2009,0.405582351090586,0.128764421885463
ESP,2010,0.423352768982361,0.100300465204452
ESP,2011,0.433289191633416,0.0869690063980982
ESP,2012,0.434888053636897,0.0790307866778378
ESP,2013,0.503025654488598,0.0626824001894032
ESP,2014,0.514682909789016,0.0550230555384569
ESP,2015,0.506082117990737,0.0449790707668047
ESP,2016,0.516088569019169,0.0269492775860271
ESP,2017,0.503074459756331,0.0374791361740057
ESP,2018,0.531940031908457,0.0304696020648712
ESP,2019,0.541401125988006,0.00451725057022012
ESP,2020,0.554365096413799,0.00197369728010631
ESP,2021,0.570580433649962,0.00112177595961626
ESP,2022,0.559477547757416,0.000845411572378532
ESP,2023,0.591225607373724,0.000644968866146135
FIN,1990,0.436805005233797,0
FIN,1991,0.456865992339363,0
FIN,1992,0.440438845113022,0
FIN,1993,0.477958137415001,0
FIN,1994,0.448008172085267,0
FIN,1995,0.466520557089845,0
FIN,1996,0.454354104160804,0
FIN,1997,0.449169365641131,0.00500250978413257
FIN,1998,0.534044089554171,0.00710651880441214
FIN,1999,0.471649311165193,0.00646657243719636
FIN,2000,0.519861906224387,0.0068085147808728
FIN,2001,0.489300584746817,0.00621915284006272
FIN,2002,0.486232027042385,0.00693909506962235
FIN,2003,0.495385529660106,0.00675969213409997
FIN,2004,0.549920591069658,0.00882613575969363
FIN,2005,0.48908881827891,0.00900047482676365
FIN,2006,0.481416953462535,0.00836039607823338
FIN,2007,0.542295123177142,0.00251498796688647
FIN,2008,0.556394018383118,0.00135600919813239
FIN,2009,0.487987996394795,0.00606007278761612
FIN,2010,0.548660832076543,0.00398037676248868
FIN,2011,0.54495223075748,0.00363188712323317
FIN,2012,0.589440265510534,0.00421472063818166
FIN,2013,0.561410262353711,0
FIN,2014,0.568427034551675,0
FIN,2015,0.60381213224272,0
FIN,2016,0.609861858403925,0
FIN,2017,0.639586429825291,0
FIN,2018,0.60274812891334,0
FIN,2019,0.621167961698983,0
FIN,2020,0.636427047264956,0
FIN,2021,0.675922662937741,0
FIN,2022,0.648746679163812,0
FIN,2023,0.599336226210209,0
FRA,1990,0.136832759362855,0.125039770507922
FRA,1991,0.145317783850972,0.120233741888141
