country,CarbonIntensity_normed,EnergyIntensity_normed,CarbonPerEnergy_normed,CarbonIntensityCBA_normed,GWP_cba_normed,ShareFossilsProd_normed,GWP_trade_normed,GWP_normed,EnergyConsumption_normed,GreenPatentsGrants_normed,GreenPatentsApps_normed,ValueAdded_normed,EnergyProduction_normed,EnergyExports_normed,ShareRenewables_normed,GDP_normed,GreenPatents_normed,ShareFossils_normed,ECI,GCI,GCP
Hungary,495023.570337384,1.59267152233119,310453.187559778,572031.638594441,7712.85219201496,0.319252478907923,1049.19002425402,6663.66216776093,0.0214744163675682,0.531847152436591,1.13004041480204,0.0135802537707191,0.012880557270862,-0.0191729968187561,0.292171796827232,36377.9840457061,1.13004041480204,0.69598,1.3939236703565,1.77748772699122,0.902519540553035
Ireland,224603.769691412,0.404384814500103,551685.615480559,313317.058931139,20403.3157849633,0.50364055554326,5960.72841456781,14442.5873703955,0.0261592425798341,3.49209971269592,10.3249652052269,0.0667002622713311,0.00981973155681971,-0.0243154349237619,0.364386897783806,99711.9223391613,10.3249652052269,0.88994,1.26877328543058,-0.278519514919365,-0.33815959704924
Italy,223468.530050359,0.755036604964332,295795.782040384,320454.899998764,9227.45138977485,0.238079150428737,2804.02558532943,6423.42580444542,0.0217160072069874,3.68837427524338,5.96393536477427,0.0287762504268678,0.00720887230809657,-0.0229074934643186,0.730643522944926,49092.3138756532,5.96393536477427,0.78952,1.17116207407037,3.02236881891321,3.34060275936967
Lithuania,544090.824085707,1.35886529992609,400062.692486892,578165.100024246,9442.52540555717,0.0195862730786034,449.275794298999,8993.24961125817,0.0224924661707419,0.428526912540984,0.820689685047393,0.0167280902244169,0.00866296682439992,-0.0244148974195557,0.817990507666809,43115.4900019671,0.820689685047393,0.6608,0.714108655311008,1.18789710512878,1.24695069931438
Luxembourg,121675.340054589,0.67949013763429,177279.980936647,260217.775078281,26124.2529771969,0,14147.9289656483,11976.3240115486,0.067168544665837,22.71450499106,54.7078209470527,0.0995758187797133,0.0046734876637122,-0.0764472776008953,0.835534138302409,133895.345779518,54.7078209470527,0.80368,1.47719569816098,0.72696516339,0.556729707894771
Latvia,480352.853945624,1.62114593327345,295953.299318404,593767.238795559,8610.06047243418,0,1558.74449613485,7051.31597629933,0.0238299885241039,0.734461933515478,1.31206044229106,0.014846558673254,0.0166524669876752,-0.0125672412830342,0.995138224491267,33588.1590775117,1.31206044229106,0.59064,0.759973699008291,1.00264299702348,1.00122806550991
Malta,217069.468890086,0.455591278115542,475085.495736155,444661.926436891,11612.4089410886,0,5881.48512362044,5730.9238174682,0.0120538746883454,5.78814182004778,11.2597857981219,0.026564224581936,0.000869722105944542,-0.068549461816601,1,54376.7599758054,11.2597857981219,0.96558,0.91100565274548,0.0981521787495458,-0.296354184165145
Netherlands,249432.965127653,0.658277247623588,377458.748383397,328810.073985185,14644.422687372,0.733263723579814,3555.51383082538,11088.9088565466,0.02933558954694,10.6121729500846,24.1540229209733,0.0447772090097189,0.0222680530624515,-0.0353637441969596,0.207865923374465,67471.3051730607,24.1540229209733,0.91756,1.26298566130999,0.971709463657553,2.03758829187309
Poland,763190.91355022,1.66529054110001,457247.004041782,687825.569594499,9071.58524198103,0.792047130124557,-1022.25541325969,10093.8406552407,0.0220881122296572,0.596334735241635,1.0115285069301,0.0133504785093377,0.0190323306952865,-0.0138664029611094,0.191335191443714,38166.4745618241,1.0115285069301,0.88222,1.03646819149263,2.11061924097096,2.1297482484325
Portugal,311682.535074198,0.938141245959611,330523.912468386,352715.335887349,6714.62719673854,0,789.782523056435,5924.8446736821,0.0179065039418532,0.718870226700043,1.99192619969228,0.0191427325938218,0.00736532760708366,-0.0194718109665665,0.977270777678507,38756.852057085,1.99192619969228,0.73816,0.414290222640744,0.948366776223571,1.68346643160774
Romania,500903.012227989,1.3516417628546,369536.782725805,529089.649421901,5583.32699381944,0.626005035829358,312.026209069207,5271.30078475024,0.0142851905991522,0.0309758725511468,0.165240582321149,0.0106612777706499,0.014459345030167,-0.00553181211898816,0.245575623538098,35873.171002314,0.165240582321149,0.73078,0.961432858270326,1.57222776831262,1.15015011700625
Slovakia,439746.780478736,1.38141722351215,317907.429467158,595411.88205857,9467.56375798988,0.0620585988523649,2504.34090299417,6963.22285499571,0.0218985342690534,0.698141030590058,0.954332810874209,0.0159933613645034,0.0145687268230907,-0.0224255458057128,0.325257348914395,36719.8256684959,0.954332810874209,0.63424,1.43616269698543,1.05105221004061,0.849296346953573
Slovenia,371564.236470883,1.27292108883977,291230.843134767,438068.560738818,9162.9075735467,0.2522144231532,1357.5293325973,7805.3782409494,0.0267957370942218,2.79386141672555,4.60062717054758,0.0212530968259857,0.0191755391201314,-0.0189243784748591,0.32038847486264,43951.0064323331,4.60062717054758,0.62876,1.50166562999129,1.73367120586991,1.33489660604372
Sweden,106768.450763616,0.780513708282682,136655.68129782,189898.60408585,8718.94798861046,0,3817.12694973986,4901.8210388706,0.0358523761042589,16.1559137057344,39.8918448062617,0.0461002196715295,0.0408957469139631,-0.0160378969861235,0.568378892363733,61128.2280651314,39.8918448062617,0.31882,1.67989681670434,1.91377792483969,1.32146048078308
